d20,5,2014-10-19 04:57:02.155749
d20,9,2014-10-19 04:57:02.795662
d20,2,2014-10-19 04:57:03.398583
d10,5,2014-10-19 04:57:04.759683
d10,4,2014-10-19 04:57:05.337930
d10,8,2014-10-19 04:57:05.909539
d12,4,2014-10-19 04:57:07.892646
d12,8,2014-10-19 04:57:08.464624
d12,8,2014-10-19 04:57:09.573577
d20,17,2014-10-19 05:36:03.323143
d20,10,2014-10-21 00:42:27.209628
d20,3,2014-10-21 00:42:28.295592
d20,14,2014-10-21 00:42:29.028492
d10,1,2014-10-21 00:42:30.769412
d10,4,2014-10-21 00:42:31.402337
d10,10,2014-10-21 00:42:32.157046
